therapy_class,n_independent_cohorts,independent_trial_ids,n_endpoint_families,endpoint_families,largest_primary_responder,largest_primary_nonresponder,phase0_status
ANTI_TNF,6,TRIAL_ACT1;COHORT_LEUVEN_ARJIS;COHORT_GSE73661_IFX;TRIAL_PURSUIT_SC;TRIAL_PROGECT;COHORT_EMTAB7604,7,ENDOSCOPIC_REMISSION;ENDOSCOPIC_RESPONSE;FLARE_ON_CONTINUED_THERAPY;INDUCTION_CLINICAL_REMISSION;INDUCTION_CLINICAL_RESPONSE;MUCOSAL_HEALING;RELAPSE_AFTER_WITHDRAWAL,32,63,USABLE
ANTI_INTEGRIN_VEDOLIZUMAB,3,TRIAL_GEMINI;COHORT_EMTAB7845;COHORT_GSE234736,3,ENDOSCOPIC_REMISSION;INDUCTION_CLINICAL_RESPONSE;MUCOSAL_HEALING,24,23,USABLE
IL12_23_USTEKINUMAB,2,TRIAL_UNITI2;TRIAL_UNIFI,3,INDUCTION_CLINICAL_REMISSION;INDUCTION_CLINICAL_RESPONSE;MUCOSAL_HEALING,56,315,USABLE
IL6_TRANS_SIGNALING,1,TRIAL_FUTURE,2,INDUCTION_CLINICAL_REMISSION;INDUCTION_CLINICAL_RESPONSE,0,0,SECONDARY_SMALL
