signature_id,dataset_id,platform,n_signature_genes,n_mapped_genes,mapped_genes,missing_genes,coverage_fraction,direction_complete,mapping_status,primary_coverage_pass,notes
SIG_ATNF_ARJIS5,BIOSTOP_JJAG121,Illumina,5,0,,IL11;IL13RA2;PTGS2;STC1;TNFRSF11B,,TRUE,NOT_COMPUTABLE_NO_DIRECT_PLATFORM_CATALOG,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,GSE12251_ACT1_MH,GPL570,1,1,OSM,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,GSE23597_ACT1,GPL570,1,1,OSM,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,GSE14580_UC,GPL570,1,1,OSM,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,GSE16879_UC_CD,GPL570,1,1,OSM,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,GSE73661_IFX,GPL6244,1,1,OSM,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,GSE73661_VDZ,GPL6244,1,1,OSM,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,GSE92415_PURSUIT,GPL13158,1,1,OSM,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,GSE212849_PROGECT,GPL570,1,1,OSM,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,E-MTAB-7604_ATNF,Illumina HiSeq 4000,1,1,OSM,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_OSM1,E-MTAB-7845_VDZ,Illumina HiSeq 4000,1,1,OSM,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
