task_id,signature_1,signature_2,n_subjects,spearman_rho
T_PROGECT_MH_W6,SIG_UST_MH2,SIG_VDZ_ANDO7,84,0.028996658904525664
T_PROGECT_MH_W6,SIG_VDZ4,SIG_VDZ_ANDO7,84,0.35927913334008305
T_PURSUIT_CR_W6,SIG_ATNF_7GENE,SIG_ATNF_ARJIS5,59,0.7067212156633548
T_PURSUIT_CR_W6,SIG_ATNF_7GENE,SIG_ATNF_OSM1,59,0.48404441846873175
T_PURSUIT_CR_W6,SIG_ATNF_7GENE,SIG_CROSS_UC4,59,0.7786090005844535
T_PURSUIT_CR_W6,SIG_ATNF_7GENE,SIG_UST4_COEF,59,0.41338398597311515
T_PURSUIT_CR_W6,SIG_ATNF_7GENE,SIG_UST_HUB4,59,-0.07323202805376973
T_PURSUIT_CR_W6,SIG_ATNF_7GENE,SIG_UST_MH2,59,0.1527761542957335
T_PURSUIT_CR_W6,SIG_ATNF_7GENE,SIG_VDZ_ANDO7,59,-0.4573933372296902
T_PURSUIT_CR_W6,SIG_ATNF_ARJIS5,SIG_ATNF_OSM1,59,0.6884278199883109
T_PURSUIT_CR_W6,SIG_ATNF_ARJIS5,SIG_CROSS_UC4,59,0.9003506721215664
T_PURSUIT_CR_W6,SIG_ATNF_ARJIS5,SIG_UST4_COEF,59,0.6876095850379895
T_PURSUIT_CR_W6,SIG_ATNF_ARJIS5,SIG_UST_HUB4,59,-0.012273524254821741
T_PURSUIT_CR_W6,SIG_ATNF_ARJIS5,SIG_UST_MH2,59,0.23132670952659262
T_PURSUIT_CR_W6,SIG_ATNF_ARJIS5,SIG_VDZ_ANDO7,59,-0.07510227936879019
T_PURSUIT_CR_W6,SIG_ATNF_OSM1,SIG_CROSS_UC4,59,0.7228521332554062
T_PURSUIT_CR_W6,SIG_ATNF_OSM1,SIG_UST4_COEF,59,0.5157218001168907
T_PURSUIT_CR_W6,SIG_ATNF_OSM1,SIG_UST_HUB4,59,0.13471654003506722
T_PURSUIT_CR_W6,SIG_ATNF_OSM1,SIG_UST_MH2,59,0.29210987726475746
T_PURSUIT_CR_W6,SIG_ATNF_OSM1,SIG_VDZ_ANDO7,59,-0.07977790765634132
T_PURSUIT_CR_W6,SIG_CROSS_UC4,SIG_UST4_COEF,59,0.7210987726475745
T_PURSUIT_CR_W6,SIG_CROSS_UC4,SIG_UST_HUB4,59,0.03956750438340152
T_PURSUIT_CR_W6,SIG_CROSS_UC4,SIG_UST_MH2,59,0.28375219170075977
T_PURSUIT_CR_W6,SIG_CROSS_UC4,SIG_VDZ_ANDO7,59,-0.2539450613676213
T_PURSUIT_CR_W6,SIG_UST4_COEF,SIG_UST_HUB4,59,0.3370543541788428
T_PURSUIT_CR_W6,SIG_UST4_COEF,SIG_UST_MH2,59,0.30309760374050265
T_PURSUIT_CR_W6,SIG_UST4_COEF,SIG_VDZ_ANDO7,59,-0.031385154880187026
T_PURSUIT_CR_W6,SIG_UST_HUB4,SIG_UST_MH2,59,0.542489772063121
T_PURSUIT_CR_W6,SIG_UST_HUB4,SIG_VDZ_ANDO7,59,0.2038573933372297
T_PURSUIT_CR_W6,SIG_UST_MH2,SIG_VDZ_ANDO7,59,-0.0897136177673875
T_UNIFI_MH_W8,SIG_ATNF_7GENE,SIG_ATNF_ARJIS5,358,0.7760522051680261
T_UNIFI_MH_W8,SIG_ATNF_7GENE,SIG_ATNF_OSM1,358,0.6188423954125643
T_UNIFI_MH_W8,SIG_ATNF_7GENE,SIG_CROSS_UC4,358,0.7978964200485441
T_UNIFI_MH_W8,SIG_ATNF_7GENE,SIG_UST4_COEF,358,0.2847836011203784
T_UNIFI_MH_W8,SIG_ATNF_7GENE,SIG_UST_HUB4,358,-0.14211620441270298
T_UNIFI_MH_W8,SIG_ATNF_7GENE,SIG_UST_MH2,358,0.1009973899769833
T_UNIFI_MH_W8,SIG_ATNF_7GENE,SIG_VDZ_ANDO7,358,-0.26061875552418257
T_UNIFI_MH_W8,SIG_ATNF_ARJIS5,SIG_ATNF_OSM1,358,0.6868618829056965
T_UNIFI_MH_W8,SIG_ATNF_ARJIS5,SIG_CROSS_UC4,358,0.9132696635399309
T_UNIFI_MH_W8,SIG_ATNF_ARJIS5,SIG_UST4_COEF,358,0.4016494445773205
T_UNIFI_MH_W8,SIG_ATNF_ARJIS5,SIG_UST_HUB4,358,-0.035694899176271555
T_UNIFI_MH_W8,SIG_ATNF_ARJIS5,SIG_UST_MH2,358,0.03931014524668896
T_UNIFI_MH_W8,SIG_ATNF_ARJIS5,SIG_VDZ_ANDO7,358,0.05992669861707619
T_UNIFI_MH_W8,SIG_ATNF_OSM1,SIG_CROSS_UC4,358,0.6946056447717788
T_UNIFI_MH_W8,SIG_ATNF_OSM1,SIG_UST4_COEF,358,0.2424698333352627
T_UNIFI_MH_W8,SIG_ATNF_OSM1,SIG_UST_HUB4,358,-0.03567646304785044
T_UNIFI_MH_W8,SIG_ATNF_OSM1,SIG_UST_MH2,358,0.005400115613081826
T_UNIFI_MH_W8,SIG_ATNF_OSM1,SIG_VDZ_ANDO7,358,-0.07656525708545335
T_UNIFI_MH_W8,SIG_CROSS_UC4,SIG_UST4_COEF,358,0.4250655055754114
