signature_id,task_id,point_index,false_positive_rate,true_positive_rate,threshold
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,10,0.14814814814814814,0.375,0.5963319922
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,11,0.2962962962962963,0.375,0.3885538005
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,12,0.2962962962962963,0.40625,0.325337087
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,13,0.3333333333333333,0.40625,0.2939136575
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,14,0.3333333333333333,0.4375,0.2612099645
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,15,0.37037037037037035,0.4375,0.1057488037
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,16,0.37037037037037035,0.46875,0.05657042419
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,17,0.4074074074074074,0.46875,-0.0207618517
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,18,0.4074074074074074,0.53125,-0.0339244623
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,19,0.4444444444444444,0.53125,-0.05113567358
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,20,0.4444444444444444,0.5625,-0.08860453171
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,21,0.48148148148148145,0.5625,-0.1157589754
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,22,0.48148148148148145,0.59375,-0.2099289252
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,23,0.5555555555555556,0.59375,-0.2554141978
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,24,0.5555555555555556,0.71875,-0.2967615373
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,25,0.5925925925925926,0.71875,-0.3323047372
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,26,0.5925925925925926,0.8125,-0.4404296109
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,27,0.7037037037037037,0.8125,-0.4871615297
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,28,0.7037037037037037,0.84375,-0.5055125436
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,29,0.7407407407407407,0.84375,-0.5328462153
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,30,0.7407407407407407,0.875,-0.5893229507
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,31,0.8888888888888888,0.875,-0.723635504
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,32,0.8888888888888888,0.90625,-0.7344485814
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,33,0.9629629629629629,0.90625,-1.076442689
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,34,0.9629629629629629,0.96875,-1.260192755
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,35,1.0,0.96875,-1.637487746
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,36,1.0,1.0,-1.782418435
SIG_CROSS_UC4,T_PROGECT_MH_W6,0,0.0,0.0,inf
SIG_CROSS_UC4,T_PROGECT_MH_W6,1,0.015873015873015872,0.0,1.795108803
SIG_CROSS_UC4,T_PROGECT_MH_W6,2,0.06349206349206349,0.0,1.42892311
SIG_CROSS_UC4,T_PROGECT_MH_W6,3,0.06349206349206349,0.047619047619047616,1.427612631
SIG_CROSS_UC4,T_PROGECT_MH_W6,4,0.09523809523809523,0.047619047619047616,1.169865542
SIG_CROSS_UC4,T_PROGECT_MH_W6,5,0.09523809523809523,0.09523809523809523,1.144335325
SIG_CROSS_UC4,T_PROGECT_MH_W6,6,0.14285714285714285,0.09523809523809523,0.9859577394
SIG_CROSS_UC4,T_PROGECT_MH_W6,7,0.14285714285714285,0.23809523809523808,0.9261727032
SIG_CROSS_UC4,T_PROGECT_MH_W6,8,0.19047619047619047,0.23809523809523808,0.7934888371
SIG_CROSS_UC4,T_PROGECT_MH_W6,9,0.19047619047619047,0.38095238095238093,0.6909320522
SIG_CROSS_UC4,T_PROGECT_MH_W6,10,0.25396825396825395,0.38095238095238093,0.6343856218
SIG_CROSS_UC4,T_PROGECT_MH_W6,11,0.25396825396825395,0.47619047619047616,0.5503342004
SIG_CROSS_UC4,T_PROGECT_MH_W6,12,0.31746031746031744,0.47619047619047616,0.445593032
SIG_CROSS_UC4,T_PROGECT_MH_W6,13,0.31746031746031744,0.5238095238095238,0.3923591663
SIG_CROSS_UC4,T_PROGECT_MH_W6,14,0.3492063492063492,0.5238095238095238,0.3579904531
SIG_CROSS_UC4,T_PROGECT_MH_W6,15,0.3492063492063492,0.6190476190476191,0.2835404471
