signature_id,mucosal_healing_auroc,clinical_remission_auroc,clinical_remission_minus_mucosal_healing
SIG_ATNF_7GENE,0.709319,0.700292,-0.009027000000000007
SIG_ATNF_ARJIS5,0.712039,0.685002,-0.027036999999999978
SIG_ATNF_OSM1,0.640935,0.622902,-0.018033000000000077
SIG_CROSS_UC4,0.721618,0.70379,-0.017827999999999955
SIG_UST4_COEF,0.626478,0.6839,0.05742199999999997
SIG_UST_HUB4,0.441462,0.489796,0.04833399999999999
SIG_UST_MH2,0.485277,0.528669,0.04339199999999993
SIG_VDZ_ANDO7,0.468425,0.449822,-0.01860299999999998
