alignment_score,n_cells,median_auroc,q1_auroc,q3_auroc,n_supported,support_fraction
0,10,0.5904674999999999,0.4709375,0.6176192500000001,1,0.1
1,21,0.587963,0.491111,0.6839,9,0.42857142857142855
2,12,0.660301,0.518523,0.71430125,7,0.5833333333333334
3,3,0.648526,0.6263465,0.649282,2,0.6666666666666666
