task_id,dataset_id,trial_id,n_subjects,n_responder,n_nonresponder,n_excluded_repository_samples,status
T_PURSUIT_CR_W6,GSE92415_PURSUIT,TRIAL_PURSUIT_SC,59,32,27,124,EXECUTABLE
T_PROGECT_MH_W6,GSE212849_PROGECT,TRIAL_PROGECT,84,21,63,0,EXECUTABLE
T_EMTAB7604_ER,E-MTAB-7604_ATNF,COHORT_EMTAB7604,43,18,25,1,EXECUTABLE
T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,TRIAL_UNITI2,86,48,38,302,EXECUTABLE
T_UNIFI_MH_W8,GSE206285_UNIFI,TRIAL_UNIFI,358,56,302,210,EXECUTABLE
T_UNIFI_REM_W8,GSE206285_UNIFI,TRIAL_UNIFI,364,49,315,204,EXECUTABLE
