platform,source_accession,n_direct_gene_symbols,status
GPL570,GSE16879,24430,PARSED
GPL6244,GSE73661,25755,PARSED
GPL13158,GSE92415,20932,PARSED
GPL23159,GSE107865,0,NO_DIRECT_SYMBOLS
GPL17996,GSE52746,0,NO_DIRECT_SYMBOLS
GPL32416,GSE207465,0,NO_DIRECT_SYMBOLS
GPL16791,GSE234736 Supplementary Table 2,0,ENSEMBL_TO_SYMBOL_CROSSWALK_REQUIRED
Illumina HiSeq 4000,E-MTAB-7604 processed counts,56631,PARSED_DIRECT_SYMBOL_COUNTS
