signature_id,program,citation_key,source_therapy,source_disease,source_endpoint_family,source_datasets,n_genes,genes_and_directions,benchmark_score,calibration
SIG_ATNF_ARJIS5,Arijs anti-TNF five-gene program,Arijs2009,ANTI_TNF_INFLIXIMAB,UC,MUCOSAL_HEALING,GSE14580;GSE12251,5,TNFRSF11B (nr high); STC1 (nr high); PTGS2 (nr high); IL13RA2 (nr high); IL11 (nr high),signed directional z mean,uncalibrated program score
SIG_ATNF_OSM1,OSM anti-TNF marker,West2017,ANTI_TNF,IBD,PRIMARY_NON_RESPONSE,GSE12251;GSE16879;GSE23597,1,OSM (nr high),signed directional z mean,uncalibrated program score
SIG_ATNF_7GENE,Anti-TNF seven-gene program,Shanthamallu2021,ANTI_TNF,IBD,INDUCTION_CLINICAL_RESPONSE,GSE12251;GSE23597;GSE14580;E-MTAB-7604,7,WNK2 (r high); OCRL (r high); ASB7 (r high); PCBP3 (nr high); AMPD2 (nr high); FAM155A (nr high); IL13RA2 (nr high),signed directional z mean,uncalibrated program score
SIG_VDZ4,Vedolizumab four-gene program,Verstockt2020,ANTI_INTEGRIN_VEDOLIZUMAB,UC;CD,ENDOSCOPIC_REMISSION,E-MTAB-7845,4,PIWIL1 (r high); MAATS1 (r high); RGS13 (r high); DCHS2 (r high),signed directional z mean,uncalibrated program score
SIG_VDZ_ANDO7,Ando vedolizumab seven-gene program,Ando2026,ANTI_INTEGRIN_VEDOLIZUMAB,UC,MUCOSAL_HEALING,GSE282580,7,ARMC2 (r high); BCL11B (r high); CDH23 (r high); CRB2 (r high); MEGF6 (r high); NAPSB (r high); BCAP31 (nr high),signed directional z mean,uncalibrated program score
SIG_UST4_COEF,Ustekinumab four-gene coefficient program,USTmodel2021,IL12_23_USTEKINUMAB,CD,INDUCTION_CLINICAL_RESPONSE,GSE112366,4,HSD3B1 (r high; coefficient=0.10506761); MUC4 (nr high; coefficient=-0.01419220); CFI (nr high; coefficient=-0.41004617); CCL11 (nr high; coefficient=-0.01087779),published-coefficient L1-weighted z sum,uncalibrated program score
SIG_UST_HUB4,Ustekinumab hub four-gene program,USThub2024,IL12_23_USTEKINUMAB,CD,INDUCTION_CLINICAL_RESPONSE,GSE112366;GSE207022;GSE207465,4,MUC1 (nr high); DUOX2 (nr high); LCN2 (nr high); PDZK1IP1 (nr high),signed directional z mean,uncalibrated program score
SIG_UST_MH2,Ustekinumab mucosal-healing two-gene program,USTmh2024,IL12_23_USTEKINUMAB,CD,MUCOSAL_HEALING,GSE207022,2,LCN2 (nr high); KDM5D (nr high),signed directional z mean,uncalibrated program score
SIG_CROSS_UC4,Cross-biologic UC four-gene program,UCcross2021,ANTI_TNF;ANTI_INTEGRIN_VEDOLIZUMAB,UC,MUCOSAL_HEALING,GSE12251;GSE73661,4,IGFBP5 (nr high); SELE (nr high); STC1 (nr high); VNN2 (nr high),signed directional z mean,uncalibrated program score
