signature_id,task_id,dataset_id,trial_id,evaluation_role,same_therapy,same_endpoint,same_disease,alignment_score,n_subjects,n_genes_used,frozen_auroc,z_recomputed_auroc,mad_auroc,rank_auroc,scaling_auroc_min,scaling_auroc_max,scaling_max_abs_delta,all_scalings_same_direction,frozen_classification,bootstrap_probability_auc_gt_0_5,jackknife_min_auroc,jackknife_max_auroc,jackknife_max_abs_delta,loo_gene_min_auroc,loo_gene_max_auroc,loo_gene_direction_retention_fraction,most_influential_gene,most_influential_gene_delta_auroc,orientation_patterns,published_orientation_percentile,orientation_null_min_auroc,orientation_null_median_auroc,orientation_null_max_auroc
SIG_ATNF_7GENE,T_PROGECT_MH_W6,GSE212849_PROGECT,TRIAL_PROGECT,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,True,False,True,2,84,7,0.721088,0.7210884353741497,0.7218442932728647,0.718442932728647,0.718442932728647,0.7218442932728647,0.002645502645502673,True,SUPPORTED_DIRECTION,1.0,0.7071428571428571,0.7373015873015873,0.016213151927437663,0.709750566893424,0.72713529856387,1.0,PCBP3,-0.01133786848072571,128,95.703125,0.2456538170823885,0.49999999999999994,0.7543461829176115
SIG_ATNF_7GENE,T_PURSUIT_CR_W6,GSE92415_PURSUIT,TRIAL_PURSUIT_SC,SAME_THERAPY_SAME_ENDPOINT_EXTERNAL,True,True,True,3,59,7,0.604167,0.6041666666666666,0.6018518518518519,0.5896990740740741,0.5896990740740741,0.6041666666666666,0.01446759259259256,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.917,0.5901442307692308,0.6236559139784946,0.019489247311827995,0.579861111111111,0.6215277777777779,1.0,WNK2,-0.02430555555555558,128,85.546875,0.3113425925925926,0.5,0.6886574074074074
SIG_ATNF_7GENE,T_UNIFI_MH_W8,GSE206285_UNIFI,TRIAL_UNIFI,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,False,True,1,358,7,0.709319,0.7093188268684957,0.7112109744560076,0.7137535477767266,0.7093188268684957,0.7137535477767266,0.004434720908230938,True,SUPPORTED_DIRECTION,1.0,0.70421432871764,0.7193257074051775,0.010006880536681861,0.6820009460737937,0.7267029328287608,1.0,WNK2,-0.027317880794701987,128,95.703125,0.26708845789971614,0.49999999999999994,0.7329115421002839
SIG_ATNF_7GENE,T_UNIFI_REM_W8,GSE206285_UNIFI,TRIAL_UNIFI,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,False,True,1,364,7,0.700292,0.7002915451895043,0.7011985746679624,0.7037900874635569,0.7002915451895043,0.7037900874635569,0.003498542274052552,True,SUPPORTED_DIRECTION,1.0,0.6942460317460317,0.7117063492063492,0.011414804016844915,0.6758665370910268,0.7108519598315517,1.0,WNK2,-0.024425008098477474,128,98.046875,0.2909620991253644,0.5,0.7090379008746356
SIG_ATNF_7GENE,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,TRIAL_UNITI2,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,True,True,2,86,7,0.529605,0.5296052631578947,0.5416666666666666,0.5238486842105263,0.5238486842105263,0.5416666666666666,0.01206140350877194,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.6765,0.5180180180180181,0.5427927927927928,0.01318752963489811,0.506578947368421,0.5548245614035088,1.0,FAM155A,0.025219298245614086,128,68.359375,0.37390350877192985,0.5,0.6260964912280702
SIG_ATNF_ARJIS5,T_EMTAB7604_ER,E-MTAB-7604_ATNF,COHORT_EMTAB7604,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,True,False,False,1,43,5,0.702222,0.7022222222222222,0.6955555555555556,0.7033333333333334,0.6955555555555556,0.7033333333333334,0.006666666666666599,True,SUPPORTED_DIRECTION,0.9895,0.684705882352941,0.7435294117647059,0.04130718954248369,0.6777777777777777,0.711111111111111,1.0,IL13RA2,-0.02444444444444449,32,85.9375,0.25111111111111106,0.49999999999999994,0.7488888888888889
SIG_ATNF_ARJIS5,T_PROGECT_MH_W6,GSE212849_PROGECT,TRIAL_PROGECT,SAME_THERAPY_SAME_ENDPOINT_EXTERNAL,True,True,True,3,84,5,0.648526,0.6485260770975056,0.6485260770975056,0.6496598639455783,0.6485260770975056,0.6496598639455783,0.0011337868480726376,True,SUPPORTED_DIRECTION,0.9885,0.6317460317460317,0.6698412698412699,0.021315192743764255,0.6326530612244898,0.6674225245653818,1.0,TNFRSF11B,0.01889644746787611,32,82.8125,0.28722600151171584,0.5,0.7127739984882842
SIG_ATNF_ARJIS5,T_PURSUIT_CR_W6,GSE92415_PURSUIT,TRIAL_PURSUIT_SC,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,True,False,True,2,59,5,0.658565,0.6585648148148149,0.6481481481481481,0.6539351851851852,0.6481481481481481,0.6585648148148149,0.01041666666666674,True,SUPPORTED_DIRECTION,0.984,0.6454326923076923,0.6802884615384616,0.021723646723646683,0.6354166666666666,0.6747685185185185,1.0,IL13RA2,-0.02314814814814825,32,85.9375,0.2777777777777778,0.5,0.7222222222222222
SIG_ATNF_ARJIS5,T_UNIFI_MH_W8,GSE206285_UNIFI,TRIAL_UNIFI,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,True,True,2,358,5,0.712039,0.712038789025544,0.7156456953642385,0.709703169347209,0.709703169347209,0.7156456953642385,0.0036069063386945377,True,SUPPORTED_DIRECTION,1.0,0.7068633353401566,0.7234196267308851,0.011380837705341151,0.7023415326395459,0.7187204351939451,1.0,IL11,-0.009697256385998054,32,92.1875,0.2853003784295175,0.5,0.7146996215704826
SIG_ATNF_ARJIS5,T_UNIFI_REM_W8,GSE206285_UNIFI,TRIAL_UNIFI,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,False,True,1,364,5,0.685002,0.6850016196954972,0.6905085843861354,0.6853903466148363,0.6850016196954972,0.6905085843861354,0.005506964690638161,True,SUPPORTED_DIRECTION,1.0,0.678505291005291,0.6975529100529101,0.01255129035741287,0.6766439909297052,0.7011337868480725,1.0,IL13RA2,0.01613216715257526,32,95.3125,0.29193391642371236,0.5,0.7080660835762876
